row,tile,scope,n_cells,n_frames,eta2,null_mean,null_p95,excess,ratio,raw_coverage,common_mask_frac
F_h1only,E0_N36,tile,2177450,74,0.29483755401224837,0.20717198003068807,0.2482618180812819,0.0876655739815603,1.1876073263739548,0.995432562523972,0.995432562523972
F_full,E0_N36,tile,2177450,74,0.3696482490746662,0.33178540194262307,0.3581528564405887,0.03786284713204313,1.0320963310144209,0.995432562523972,0.995432562523972
F_resid,E0_N36,tile,2177450,74,0.1240693906165449,0.1403653752096355,0.16764793329450348,-0.01629598459309059,0.740059171493602,0.995432562523972,0.995432562523972
F_pfree,E0_N36,tile,2177450,74,0.18380817079494996,0.15070862516396283,0.1866286123483237,0.03309954563098713,0.9848874107893506,0.995432562523972,0.995432562523972
mosaic,E0_N40,tile,2107814,44,0.17656145675962506,0.1507477709949004,0.1785779124576087,0.025813685764724675,0.9887082580917598,1.0,0.9635981039031453
F_h1only,E0_N40,tile,2107814,44,0.1963718448689413,0.15187828791630992,0.1805974333590701,0.04449355695263138,1.0873457125966346,0.9635981039031453,0.9635981039031453
F_full,E0_N40,tile,2107814,44,0.316350845995366,0.23227007907216296,0.2690465226318147,0.08408076692320304,1.1758220953789704,0.9635981039031453,0.9635981039031453
F_resid,E0_N40,tile,2107814,44,0.15159409570895915,0.1365275113749042,0.16266233215379802,0.015066584334054944,0.931955749691491,0.9635981039031453,0.9635981039031453
F_pfree,E0_N40,tile,2107814,44,0.30616109612127634,0.24756491207252856,0.27463103003594574,0.05859618404874778,1.1148088257951176,0.9635981039031453,0.9635981039031453
mosaic,E0_N44,tile,2041417,32,0.24710344167708914,0.15713401900930343,0.1829758794742497,0.08996942266778571,1.3504700312800746,1.0,0.9332443709338903
F_h1only,E0_N44,tile,2041417,32,0.20993497610115683,0.1715077976787905,0.2021640531241771,0.038427178422366315,1.03843869796282,0.9332443709338903,0.9332443709338903
F_full,E0_N44,tile,2041417,32,0.36104860772937813,0.29418069623799725,0.32845182110214466,0.06686791149138088,1.0992437384510536,0.9332443709338903,0.9332443709338903
F_resid,E0_N44,tile,2041417,32,0.18487433925645685,0.14055546004142358,0.1715209945452933,0.044318879215033274,1.0778525377990236,0.9332443709338903,0.9332443709338903
F_pfree,E0_N44,tile,2041417,32,0.1956618348070311,0.1222018635615481,0.15330232595884524,0.073459971245483,1.2763135430806019,0.9332443709338903,0.9332443709338903
mosaic,E4_N32,tile,2148076,52,0.15472159854575068,0.05944398148390996,0.07951432518519827,0.09527761706184072,1.9458330078936816,0.9994468422234016,0.9820040860530639
F_h1only,E4_N32,tile,2148076,52,0.11652819611588425,0.07432205383771516,0.09914777462454788,0.04220614227816909,1.1752981502323419,0.9820091147601239,0.9820040860530639
F_full,E4_N32,tile,2148076,52,0.42091792438975484,0.3182700556497696,0.3353712908540199,0.10264786873998522,1.2550803717214172,0.9820091147601239,0.9820040860530639
F_resid,E4_N32,tile,2148076,52,0.12501640840640293,0.1297716611525917,0.1428818528016895,-0.004755252746188765,0.8749635167449669,0.9820091147601239,0.9820040860530639
F_pfree,E4_N32,tile,2148076,52,0.09532394394040013,0.09322327125802149,0.11016026020442136,0.0021006726823786376,0.8653206134726816,0.9820091147601239,0.9820040860530639
mosaic,E4_N36,tile,1985288,61,0.16667415217392195,0.08763266595998745,0.1267357390664662,0.0790414862139345,1.315131417559416,0.9999972570688763,0.9075847074275375
F_h1only,E4_N36,tile,1985288,61,0.3326557139689509,0.18106755155854323,0.21939685687246402,0.15158816241040765,1.5162282573734616,0.9075874503586611,0.9075847074275375
F_full,E4_N36,tile,1985288,61,0.3808125702111032,0.22613196644128078,0.268399786903904,0.15468060376982243,1.418825903715962,0.9075874503586611,0.9075847074275375
F_resid,E4_N36,tile,1985288,61,0.10604640712685706,0.09517617472527644,0.11132469670924201,0.010870232401580623,0.9525865352575736,0.9075874503586611,0.9075847074275375
F_pfree,E4_N36,tile,1985288,61,0.11651485834187107,0.09894421474860975,0.12349689628433863,0.017570643593261326,0.9434638589913049,0.9075874503586611,0.9075847074275375
mosaic,E4_N40,tile,2178127,55,0.16413094275709816,0.1052549845834411,0.13314599433241267,0.05887595817365707,1.2327140863684445,1.0,0.9957420565857548
F_h1only,E4_N40,tile,2178127,55,0.2586667316851675,0.13142374352274866,0.16318381465484016,0.12724298816241886,1.5851249232792417,0.9957420565857548,0.9957420565857548
F_full,E4_N40,tile,2178127,55,0.1848872045606973,0.11907043423298791,0.143613339614229,0.06581677032770938,1.2873957604310102,0.9957420565857548,0.9957420565857548
F_resid,E4_N40,tile,2178127,55,0.06655327040170968,0.06693022944280783,0.09103583246943056,-0.0003769590410981488,0.7310667524686829,0.9957420565857548,0.9957420565857548
F_pfree,E4_N40,tile,2178127,55,0.09575284661841048,0.08003995775265492,0.10502544147301408,0.01571288886575556,0.9117109652237342,0.9957420565857548,0.9957420565857548
mosaic,E4_N44,tile,2186713,47,0.2604786474733794,0.10525213624597587,0.12909925701424052,0.15522651122740352,2.017661863419143,1.0,0.9996671910236664
F_h1only,E4_N44,tile,2186713,47,0.36844159917368074,0.19101562581052314,0.21807522247694694,0.1774259733631576,1.6895160990269276,0.9996671910236664,0.9996671910236664
