arm,tile,r0,c0,n_cells,n_frames,eta2,null_mean,null_p95,excess,ratio
baseline,E-4_N44,469,938,219939,9,0.02361218731206669,0.013604139285091086,0.023660626560476017,0.010008048026975606,0.9979527487031877
baseline,E-4_N44,938,0,219947,7,0.0583862766931385,0.0498447394174707,0.07653940217281484,0.008541537275667796,0.7628264009863936
baseline,E-4_N44,938,469,219951,6,0.1977839225363389,0.06768664774174774,0.09756556049595241,0.13009727479459116,2.0271899380370404
baseline,E-4_N44,938,938,219940,9,0.07632359657652807,0.017606739739263074,0.03522481954440325,0.05871685683726499,2.166756212343886
a1,E-4_N44,0,0,219259,5,0.08828660307306353,0.027455468498673315,0.04147863278256742,0.06083113457439022,2.128483924141504
a1,E-4_N44,0,469,219953,5,0.02397005782669451,0.005468084020445202,0.007701916032443814,0.01850197380624931,3.1122200924707855
a1,E-4_N44,0,938,219941,11,0.08721403270654303,0.021230395953793717,0.035472855468237245,0.06598363675274932,2.4586132566811645
a1,E-4_N44,469,0,219952,7,0.04857382757480216,0.018289657496854437,0.03542955380380758,0.03028417007794772,1.370997440266436
a1,E-4_N44,469,469,219952,4,0.07541437391426076,0.016942091777310833,0.03189038010345921,0.058472282136949924,2.3648000955021673
a1,E-4_N44,469,938,219939,9,0.011823914568145969,0.00645570992626564,0.010883639377096122,0.005368204641880329,1.0863934533726458
a1,E-4_N44,938,0,219947,7,0.18406732975063111,0.08175943734219956,0.12036878665238676,0.10230789240843155,1.5291948591473261
a1,E-4_N44,938,469,219951,6,0.14471471941519098,0.058896758203407965,0.08445640600380246,0.08581796121178302,1.7134842253253773
a1,E-4_N44,938,938,219940,9,0.06369161330642878,0.016887172233926242,0.03539734017991054,0.046804441072502534,1.7993333109976557
baseline,E-8_N32,0,0,219942,19,0.2705073047353967,0.05961195096676938,0.09003755023100925,0.2108953537686273,3.0043832161287862
baseline,E-8_N32,0,469,219945,14,0.1739197444182005,0.12011249023038457,0.16515437324433174,0.053807254187815914,1.053073806049938
baseline,E-8_N32,0,938,219932,13,0.059508552145297086,0.031512138868324394,0.05429998582950674,0.027996413276972693,1.095922056630814
